County,State,Year,Price
King County,WA,2000,141.16666666666666
Fairfax County,VA,2000,134.0
Montgomery County,MD,2000,126.91666666666667
Prince Georges County,MD,2000,91.83333333333333
Baltimore County,MD,2000,86.75
Pierce County,WA,2000,98.41666666666667
Snohomish County,WA,2000,127.5
Baltimore City,MD,2000,52.833333333333336
District of Columbia,DC,2000,128.83333333333334
Anne Arundel County,MD,2000,106.08333333333333
Spokane County,WA,2000,90.5
Virginia Beach City,VA,2000,70.08333333333333
Clark County,WA,2000,94.08333333333333
Prince William County,VA,2000,98.08333333333333
Chesterfield County,VA,2000,69.58333333333333
Loudoun County,VA,2000,115.41666666666667
Henrico County,VA,2000,77.58333333333333
Howard County,MD,2000,105.58333333333333
Thurston County,WA,2000,87.75
Kitsap County,WA,2000,96.75
Harford County,MD,2000,88.75
Yakima County,WA,2000,74.08333333333333
Norfolk City,VA,2000,61.916666666666664
Frederick County,MD,2000,94.25
Chesapeake City,VA,2000,70.08333333333333
Arlington County,VA,2000,173.5
Richmond City,VA,2000,59.583333333333336
Whatcom County,WA,2000,92.83333333333333
Newport News City,VA,2000,63.0
Benton County,WA,2000,63.416666666666664
Carroll County,MD,2000,98.25
Washington County,MD,2000,71.25
Charles County,MD,2000,84.5
Hampton City,VA,2000,59.583333333333336
Stafford County,VA,2000,81.66666666666667
Spotsylvania County,VA,2000,77.66666666666667
Skagit County,WA,2000,104.0
Saint Marys County,MD,2000,83.08333333333333
Cowlitz County,WA,2000,77.33333333333333
Cecil County,MD,2000,81.0
Hanover County,VA,2000,83.25
Wicomico County,MD,2000,59.916666666666664
Roanoke City,VA,2000,61.166666666666664
Portsmouth City,VA,2000,56.416666666666664
Montgomery County,VA,2000,72.33333333333333
Roanoke County,VA,2000,74.75
Grant County,WA,2000,58.583333333333336
Calvert County,MD,2000,98.16666666666667
Suffolk City,VA,2000,59.833333333333336
Island County,WA,2000,113.91666666666667
Frederick County,VA,2000,74.25
Franklin County,WA,2000,55.833333333333336
Lynchburg City,VA,2000,49.25
Lewis County,WA,2000,79.33333333333333
Allegany County,MD,2000,40.916666666666664
Augusta County,VA,2000,75.58333333333333
Grays Harbor County,WA,2000,69.33333333333333
Chelan County,WA,2000,107.0
Clallam County,WA,2000,92.0
Bedford County,VA,2000,77.41666666666667
James City County,VA,2000,84.58333333333333
York County,VA,2000,74.41666666666667
Fauquier County,VA,2000,97.41666666666667
Pittsylvania County,VA,2000,62.416666666666664
Mason County,WA,2000,91.0
Walla Walla County,WA,2000,79.41666666666667
Franklin County,VA,2000,76.83333333333333
Washington County,VA,2000,57.083333333333336
Henry County,VA,2000,
Worcester County,MD,2000,100.83333333333333
Harrisonburg City,VA,2000,75.0
Queen Annes County,MD,2000,89.25
Culpeper County,VA,2000,76.25
Whitman County,WA,2000,
Stevens County,WA,2000,58.416666666666664
Charlottesville City,VA,2000,95.16666666666667
Shenandoah County,VA,2000,69.08333333333333
Okanogan County,WA,2000,59.0
Kittitas County,WA,2000,92.08333333333333
Douglas County,WA,2000,94.66666666666667
Talbot County,MD,2000,84.66666666666667
Warren County,VA,2000,92.66666666666667
Gloucester County,VA,2000,74.41666666666667
Prince George County,VA,2000,71.91666666666667
Isle of Wight County,VA,2000,64.16666666666667
Orange County,VA,2000,73.83333333333333
Louisa County,VA,2000,77.66666666666667
Botetourt County,VA,2000,80.0
Caroline County,MD,2000,63.0
Dorchester County,MD,2000,56.083333333333336
Amherst County,VA,2000,73.16666666666667
Garrett County,MD,2000,59.916666666666664
Jefferson County,WA,2000,105.0
Caroline County,VA,2000,70.5
Powhatan County,VA,2000,80.5
Somerset County,MD,2000,45.416666666666664
Winchester City,VA,2000,81.08333333333333
Fluvanna County,VA,2000,81.75
Salem City,VA,2000,76.16666666666667
Fredericksburg City,VA,2000,67.66666666666667
Page County,VA,2000,54.5
Staunton City,VA,2000,69.66666666666667
King George County,VA,2000,76.25
Scott County,VA,2000,46.416666666666664
Hopewell City,VA,2000,
Fairfax City,VA,2000,121.25
Rockbridge County,VA,2000,76.5
Goochland County,VA,2000,84.58333333333333
Asotin County,WA,2000,87.33333333333333
Waynesboro City,VA,2000,63.333333333333336
Pacific County,WA,2000,74.08333333333333
Klickitat County,WA,2000,76.25
Kent County,MD,2000,68.75
Adams County,WA,2000,54.0
New Kent County,VA,2000,71.83333333333333
Greene County,VA,2000,74.08333333333333
